index	genome	identifier	file	clip	scale	sum_stat	description
12	0	A-Muscle-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Muscle-PK29.bw	32	4	mean	ATAC-seq:Muscle |  A-Muscle-PK29 from A1-PK29-XJ-3
13	0	A-Muscle-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Muscle-PK32.bw	32	4	mean	ATAC-seq:Muscle |  A-Muscle-PK32 from A-PK32-XJ
14	0	A-Wing-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Wing-PK29.bw	32	4	mean	ATAC-seq:Wing |  A-Wing-PK29 from A-PK29-CB
15	0	A-Wing-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Wing-PK32.bw	32	4	mean	ATAC-seq:Wing |  A-Wing-PK32 from A-PK32-CB
16	0	A-Airsac-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Airsac-PK29.bw	32	4	mean	ATAC-seq:Airsac |  A-Airsac-PK29 from A-PK29-QN2
17	0	A-Airsac-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Airsac-PK32.bw	32	4	mean	ATAC-seq:Airsac |  A-Airsac-PK32 from A-PK32-QN-1
18	0	A-Lung-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Lung-PK29.bw	32	4	mean	ATAC-seq:Lung |  A-Lung-PK29 from A-lung-PK29-2
19	0	A-Lung-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Lung-PK32.bw	32	4	mean	ATAC-seq:Lung |  A-Lung-PK32 from A-PK32-F-1
20	0	A-Spleen-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Spleen-PK29.bw	32	4	mean	ATAC-seq:Spleen |  A-Spleen-PK29 from A-spleen-PK29-1
21	0	A-Spleen-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Spleen-PK32.bw	32	4	mean	ATAC-seq:Spleen |  A-Spleen-PK32 from A-PK32-PZa-1
22	0	A-Thymus-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Thymus-PK29.bw	32	4	mean	ATAC-seq:Thymus |  A-Thymus-PK29 from A-PK29-XX
23	0	A-Thymus-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Thymus-PK32.bw	32	4	mean	ATAC-seq:Thymus |  A-Thymus-PK32 from A-PK32-xx-1
24	0	A-Bursa-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Bursa-PK29.bw	32	4	mean	ATAC-seq:Bursa |  A-Bursa-PK29 from A-bursa-fabricius-PK29-2
25	0	A-Bursa-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Bursa-PK32.bw	32	4	mean	ATAC-seq:Bursa |  A-Bursa-PK32 from A-PK32-FSN-1
26	0	A-Ovary-ZF35	/path/to/data/Epigenomes/Duck/atac/bw/A-Ovary-ZF35.bw	32	4	mean	ATAC-seq:Ovary |  A-Ovary-ZF35 from A-ZF35-LC
27	0	A-Ovary-ZF36	/path/to/data/Epigenomes/Duck/atac/bw/A-Ovary-ZF36.bw	32	4	mean	ATAC-seq:Ovary |  A-Ovary-ZF36 from A-ZF36-LC
28	0	A-Magnum-ZF35	/path/to/data/Epigenomes/Duck/atac/bw/A-Magnum-ZF35.bw	32	4	mean	ATAC-seq:Magnum |  A-Magnum-ZF35 from A-ZF35-PD
29	0	A-Magnum-ZF36	/path/to/data/Epigenomes/Duck/atac/bw/A-Magnum-ZF36.bw	32	4	mean	ATAC-seq:Magnum |  A-Magnum-ZF36 from A-ZF36-PD
30	0	A-Uterus-ZF35	/path/to/data/Epigenomes/Duck/atac/bw/A-Uterus-ZF35.bw	32	4	mean	ATAC-seq:Uterus |  A-Uterus-ZF35 from A-ZF35-ZG
31	0	A-Uterus-ZF36	/path/to/data/Epigenomes/Duck/atac/bw/A-Uterus-ZF36.bw	32	4	mean	ATAC-seq:Uterus |  A-Uterus-ZF36 from A-ZF36-ZG
32	0	A-Testis-ZF31	/path/to/data/Epigenomes/Duck/atac/bw/A-Testis-ZF31.bw	32	4	mean	ATAC-seq:Testis |  A-Testis-ZF31 from A-ZF31-GW
33	0	A-Testis-ZF32	/path/to/data/Epigenomes/Duck/atac/bw/A-Testis-ZF32.bw	32	4	mean	ATAC-seq:Testis |  A-Testis-ZF32 from A-ZF32-GW
34	0	A-Heart-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Heart-PK29.bw	32	4	mean	ATAC-seq:Heart |  A-Heart-PK29 from A-PK29-XZ
35	0	A-Heart-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Heart-PK32.bw	32	4	mean	ATAC-seq:Heart |  A-Heart-PK32 from A-PK32-XZ2
36	0	A-Kidney-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Kidney-PK29.bw	32	4	mean	ATAC-seq:Kidney |  A-Kidney-PK29 from A-kidney-PK29-1
37	0	A-Kidney-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Kidney-PK32.bw	32	4	mean	ATAC-seq:Kidney |  A-Kidney-PK32 from A-pk32-SZ-1
38	0	A-Liver	/path/to/data/Epigenomes/Duck/atac/bw/A-Liver.bw	32	4	mean	ATAC-seq:Liver |  A-Liver from A2-GZ
39	0	A-Liver-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Liver-PK32.bw	32	4	mean	ATAC-seq:Liver |  A-Liver-PK32 from A-PK32-GZ-2
40	0	A-Pancreas-PK2	/path/to/data/Epigenomes/Duck/atac/bw/A-Pancreas-PK2.bw	32	4	mean	ATAC-seq:Pancreas |  A-Pancreas-PK2 from A-PK2-YX
41	0	A-Pancreas-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Pancreas-PK32.bw	32	4	mean	ATAC-seq:Pancreas |  A-Pancreas-PK32 from A-PK32-YX
42	0	A-Gizzard-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Gizzard-PK29.bw	32	4	mean	ATAC-seq:Gizzard |  A-Gizzard-PK29 from A-PK29-JW
43	0	A-Gizzard-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Gizzard-PK32.bw	32	4	mean	ATAC-seq:Gizzard |  A-Gizzard-PK32 from A-PK32-JW
44	0	A-Jejunum-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Jejunum-PK29.bw	32	4	mean	ATAC-seq:Jejunum |  A-Jejunum-PK29 from A-PK29-KC-2
45	0	A-Jejunum-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Jejunum-PK32.bw	32	4	mean	ATAC-seq:Jejunum |  A-Jejunum-PK32 from A-PK32-KC
46	0	A-Cecum-PK2	/path/to/data/Epigenomes/Duck/atac/bw/A-Cecum-PK2.bw	32	4	mean	ATAC-seq:Cecum |  A-Cecum-PK2 from A-PK2-MC
47	0	A-Cecum-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Cecum-PK32.bw	32	4	mean	ATAC-seq:Cecum |  A-Cecum-PK32 from A-PK32-MC
48	0	C-Cortex-H3K4ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K4ME3-PK32.bw	32	2	mean	CUT&TAG:Cortex | H3K4ME3 C-Cortex-H3K4ME3-PK32 from PK32-DNao-H3K4ME3
49	0	C-Cortex-H3K4ME1-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K4ME1-PK32.bw	32	2	mean	CUT&TAG:Cortex | H3K4ME1 C-Cortex-H3K4ME1-PK32 from PK32-DNao-H3K4ME1
50	0	C-Cortex-H3K27AC-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K27AC-PK32.bw	32	2	mean	CUT&TAG:Cortex | H3K27AC C-Cortex-H3K27AC-PK32 from PK32-DNao-H3K27AC
51	0	C-Cortex-H3K27ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K27ME3-PK32.bw	64	1	sum	CUT&TAG:Cortex | H3K27ME3 C-Cortex-H3K27ME3-PK32 from PK32-DNao-H3K27ME3
52	0	C-Cortex-H3K4ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K4ME3-PK29.bw	32	2	mean	CUT&TAG:Cortex | H3K4ME3 C-Cortex-H3K4ME3-PK29 from H3K4me3-cerebrum-PK29-1
53	0	C-Cortex-H3K4ME1-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K4ME1-PK29.bw	32	2	mean	CUT&TAG:Cortex | H3K4ME1 C-Cortex-H3K4ME1-PK29 from H3K4me1-cerebrum-PK29-1
54	0	C-Cortex-H3K27AC-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K27AC-PK29.bw	32	2	mean	CUT&TAG:Cortex | H3K27AC C-Cortex-H3K27AC-PK29 from H3K27ac-cerebrum-PK29-1
55	0	C-Cortex-H3K27ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cortex-H3K27ME3-PK29.bw	64	1	sum	CUT&TAG:Cortex | H3K27ME3 C-Cortex-H3K27ME3-PK29 from H3K27me3-cerebrum-PK29-1
56	0	C-Cerebellum-H3K4ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K4ME3-PK29.bw	32	2	mean	CUT&TAG:Cerebellum | H3K4ME3 C-Cerebellum-H3K4ME3-PK29 from H3K4me3-cerebellum-pk29-1
57	0	C-Cerebellum-H3K4ME1-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K4ME1-PK29.bw	32	2	mean	CUT&TAG:Cerebellum | H3K4ME1 C-Cerebellum-H3K4ME1-PK29 from H3K4me1-cerebellum-pk29-1
58	0	C-Cerebellum-H3K27AC-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K27AC-PK29.bw	32	2	mean	CUT&TAG:Cerebellum | H3K27AC C-Cerebellum-H3K27AC-PK29 from H3K27ac-cerebellum-pk29-1
59	0	C-Cerebellum-H3K27ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K27ME3-PK29.bw	64	1	sum	CUT&TAG:Cerebellum | H3K27ME3 C-Cerebellum-H3K27ME3-PK29 from H3K27me3-cerebellum-pk29-1
60	0	C-Cerebellum-H3K4ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K4ME3-PK32.bw	32	2	mean	CUT&TAG:Cerebellum | H3K4ME3 C-Cerebellum-H3K4ME3-PK32 from PK32-XN-H3K4ME3
61	0	C-Cerebellum-H3K4ME1-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K4ME1-PK32.bw	32	2	mean	CUT&TAG:Cerebellum | H3K4ME1 C-Cerebellum-H3K4ME1-PK32 from PK32-XN-H3K4ME1
62	0	C-Cerebellum-H3K27AC-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K27AC-PK32.bw	32	2	mean	CUT&TAG:Cerebellum | H3K27AC C-Cerebellum-H3K27AC-PK32 from PK32-XN-H3K27AC
63	0	C-Cerebellum-H3K27ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Cerebellum-H3K27ME3-PK32.bw	64	1	sum	CUT&TAG:Cerebellum | H3K27ME3 C-Cerebellum-H3K27ME3-PK32 from PK32-XN-H3K27ME3
64	0	C-Hypothalamus-H3K4ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K4ME3-PK29.bw	32	2	mean	CUT&TAG:Hypothalamus | H3K4ME3 C-Hypothalamus-H3K4ME3-PK29 from PK29-XQN-H3K4ME3-3
65	0	C-Hypothalamus-H3K4ME1-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K4ME1-PK29.bw	32	2	mean	CUT&TAG:Hypothalamus | H3K4ME1 C-Hypothalamus-H3K4ME1-PK29 from PK29-XQN-H3K4ME1-3
66	0	C-Hypothalamus-H3K27AC-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K27AC-PK29.bw	32	2	mean	CUT&TAG:Hypothalamus | H3K27AC C-Hypothalamus-H3K27AC-PK29 from PK29-XQN-H3K27AC-3
67	0	C-Hypothalamus-H3K27ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K27ME3-PK29.bw	64	1	sum	CUT&TAG:Hypothalamus | H3K27ME3 C-Hypothalamus-H3K27ME3-PK29 from PK29-XQN--H3K27ME3-3
68	0	C-Hypothalamus-H3K4ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K4ME3-PK32.bw	32	2	mean	CUT&TAG:Hypothalamus | H3K4ME3 C-Hypothalamus-H3K4ME3-PK32 from PK32-XQN-H3K4ME3
69	0	C-Hypothalamus-H3K4ME1-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K4ME1-PK32.bw	32	2	mean	CUT&TAG:Hypothalamus | H3K4ME1 C-Hypothalamus-H3K4ME1-PK32 from PK32-XQN-H3K4ME1
70	0	C-Hypothalamus-H3K27AC-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K27AC-PK32.bw	32	2	mean	CUT&TAG:Hypothalamus | H3K27AC C-Hypothalamus-H3K27AC-PK32 from PK32-XQN-H3K27AC
71	0	C-Hypothalamus-H3K27ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Hypothalamus-H3K27ME3-PK32.bw	64	1	sum	CUT&TAG:Hypothalamus | H3K27ME3 C-Hypothalamus-H3K27ME3-PK32 from PK32-XQN-H3K27ME3
72	0	C-Retina-H3K4ME3-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K4ME3-PK1.bw	32	2	mean	CUT&TAG:Retina | H3K4ME3 C-Retina-H3K4ME3-PK1 from PK1-SWM-H3K4ME3
73	0	C-Retina-H3K4ME1-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K4ME1-PK1.bw	32	2	mean	CUT&TAG:Retina | H3K4ME1 C-Retina-H3K4ME1-PK1 from PK1-SWM-H3K4ME1
74	0	C-Retina-H3K27AC-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K27AC-PK1.bw	32	2	mean	CUT&TAG:Retina | H3K27AC C-Retina-H3K27AC-PK1 from PK1-SWM-H3K27AC
75	0	C-Retina-H3K27ME3-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K27ME3-PK1.bw	64	1	sum	CUT&TAG:Retina | H3K27ME3 C-Retina-H3K27ME3-PK1 from PK1-SWM-H3K27ME3
76	0	C-Retina-H3K4ME3-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K4ME3-PK2.bw	32	2	mean	CUT&TAG:Retina | H3K4ME3 C-Retina-H3K4ME3-PK2 from PK2-SWM-H3K4ME3
77	0	C-Retina-H3K4ME1-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K4ME1-PK2.bw	32	2	mean	CUT&TAG:Retina | H3K4ME1 C-Retina-H3K4ME1-PK2 from PK2-SWM-H3K4ME1
78	0	C-Retina-H3K27AC-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K27AC-PK2.bw	32	2	mean	CUT&TAG:Retina | H3K27AC C-Retina-H3K27AC-PK2 from PK2-SWM-H3K27AC
79	0	C-Retina-H3K27ME3-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Retina-H3K27ME3-PK2.bw	64	1	sum	CUT&TAG:Retina | H3K27ME3 C-Retina-H3K27ME3-PK2 from PK2-SWM-H3K27ME3
80	0	C-Pituitary-H3K4ME3-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K4ME3-PK1.bw	32	2	mean	CUT&TAG:Pituitary | H3K4ME3 C-Pituitary-H3K4ME3-PK1 from PK1-CT-H3K4ME3
81	0	C-Pituitary-H3K4ME1-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K4ME1-PK1.bw	32	2	mean	CUT&TAG:Pituitary | H3K4ME1 C-Pituitary-H3K4ME1-PK1 from PK1-CT-H3K4ME1
82	0	C-Pituitary-H3K27AC-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K27AC-PK1.bw	32	2	mean	CUT&TAG:Pituitary | H3K27AC C-Pituitary-H3K27AC-PK1 from PK1-CT-H3K27AC
83	0	C-Pituitary-H3K27ME3-PK1	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K27ME3-PK1.bw	64	1	sum	CUT&TAG:Pituitary | H3K27ME3 C-Pituitary-H3K27ME3-PK1 from PK1-CT-H3K27ME3
84	0	C-Pituitary-H3K4ME3-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K4ME3-PK2.bw	32	2	mean	CUT&TAG:Pituitary | H3K4ME3 C-Pituitary-H3K4ME3-PK2 from PK2-CT-H3K4ME3
85	0	C-Pituitary-H3K4ME1-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K4ME1-PK2.bw	32	2	mean	CUT&TAG:Pituitary | H3K4ME1 C-Pituitary-H3K4ME1-PK2 from PK2-CT-H3K4ME1
86	0	C-Pituitary-H3K27AC-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K27AC-PK2.bw	32	2	mean	CUT&TAG:Pituitary | H3K27AC C-Pituitary-H3K27AC-PK2 from PK2-CT-H3K27AC
87	0	C-Pituitary-H3K27ME3-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Pituitary-H3K27ME3-PK2.bw	64	1	sum	CUT&TAG:Pituitary | H3K27ME3 C-Pituitary-H3K27ME3-PK2 from PK2-CT-H3K27ME3
88	0	C-Adipose-H3K4ME3-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K4ME3-PK2.bw	32	2	mean	CUT&TAG:Adipose | H3K4ME3 C-Adipose-H3K4ME3-PK2 from PK2-PZhi-H3K4ME3
89	0	C-Adipose-H3K4ME1-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K4ME1-PK2.bw	32	2	mean	CUT&TAG:Adipose | H3K4ME1 C-Adipose-H3K4ME1-PK2 from PK2-PZhi-H3K4ME1
90	0	C-Adipose-H3K27AC-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K27AC-PK2.bw	32	2	mean	CUT&TAG:Adipose | H3K27AC C-Adipose-H3K27AC-PK2 from PK2-PZhi-H3K27AC
91	0	C-Adipose-H3K27ME3-PK2	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K27ME3-PK2.bw	64	1	sum	CUT&TAG:Adipose | H3K27ME3 C-Adipose-H3K27ME3-PK2 from PK2-PZhi-H3K27ME3
92	0	C-Adipose-H3K4ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K4ME3-PK29.bw	32	2	mean	CUT&TAG:Adipose | H3K4ME3 C-Adipose-H3K4ME3-PK29 from H3K4me3-subcutaneous-fat-PK29-1
93	0	C-Adipose-H3K4ME1-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K4ME1-PK32.bw	32	2	mean	CUT&TAG:Adipose | H3K4ME1 C-Adipose-H3K4ME1-PK32 from PK32-PZhi-H3K4ME1
94	0	C-Adipose-H3K27AC-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K27AC-PK32.bw	32	2	mean	CUT&TAG:Adipose | H3K27AC C-Adipose-H3K27AC-PK32 from PK32-PZhi-H3K27AC
95	0	C-Adipose-H3K27ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Adipose-H3K27ME3-PK32.bw	64	1	sum	CUT&TAG:Adipose | H3K27ME3 C-Adipose-H3K27ME3-PK32 from PK32-PZhi-H3K27ME3
96	0	C-Muscle-H3K4ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K4ME3-PK29.bw	32	2	mean	CUT&TAG:Muscle | H3K4ME3 C-Muscle-H3K4ME3-PK29 from PK29-XJ-H3K4ME3
97	0	C-Muscle-H3K4ME1-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K4ME1-PK29.bw	32	2	mean	CUT&TAG:Muscle | H3K4ME1 C-Muscle-H3K4ME1-PK29 from PK29-XJ-H3K4ME1
98	0	C-Muscle-H3K27AC-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K27AC-PK29.bw	32	2	mean	CUT&TAG:Muscle | H3K27AC C-Muscle-H3K27AC-PK29 from PK29-XJ-H3K27AC
99	0	C-Muscle-H3K27ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K27ME3-PK29.bw	64	1	sum	CUT&TAG:Muscle | H3K27ME3 C-Muscle-H3K27ME3-PK29 from PK29-XJ-H3K27ME3
100	0	C-Muscle-H3K4ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K4ME3-PK32.bw	32	2	mean	CUT&TAG:Muscle | H3K4ME3 C-Muscle-H3K4ME3-PK32 from PK32-XJ-H3K4ME3
101	0	C-Muscle-H3K4ME1-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K4ME1-PK32.bw	32	2	mean	CUT&TAG:Muscle | H3K4ME1 C-Muscle-H3K4ME1-PK32 from PK32-XJ-H3K4ME1
102	0	C-Muscle-H3K27AC-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K27AC-PK32.bw	32	2	mean	CUT&TAG:Muscle | H3K27AC C-Muscle-H3K27AC-PK32 from PK32-XJ-H3K27AC
103	0	C-Muscle-H3K27ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Muscle-H3K27ME3-PK32.bw	64	1	sum	CUT&TAG:Muscle | H3K27ME3 C-Muscle-H3K27ME3-PK32 from PK32-XJ-H3K27ME3
104	0	C-Wing-H3K4ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K4ME3-PK29.bw	32	2	mean	CUT&TAG:Wing | H3K4ME3 C-Wing-H3K4ME3-PK29 from PK29-CB-H3K4ME3
105	0	C-Wing-H3K4ME1-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K4ME1-PK29.bw	32	2	mean	CUT&TAG:Wing | H3K4ME1 C-Wing-H3K4ME1-PK29 from PK29-CB-H3K4ME1
106	0	C-Wing-H3K27AC-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K27AC-PK29.bw	32	2	mean	CUT&TAG:Wing | H3K27AC C-Wing-H3K27AC-PK29 from PK29-CB-H3K27AC
107	0	C-Wing-H3K27ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K27ME3-PK29.bw	64	1	sum	CUT&TAG:Wing | H3K27ME3 C-Wing-H3K27ME3-PK29 from PK29-CB-H3K27ME3
108	0	C-Wing-H3K4ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K4ME3-PK32.bw	32	2	mean	CUT&TAG:Wing | H3K4ME3 C-Wing-H3K4ME3-PK32 from PK32-CB-H3K4ME3
109	0	C-Wing-H3K4ME1-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K4ME1-PK32.bw	32	2	mean	CUT&TAG:Wing | H3K4ME1 C-Wing-H3K4ME1-PK32 from PK32-CB-H3K4ME1
110	0	C-Wing-H3K27AC-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K27AC-PK32.bw	32	2	mean	CUT&TAG:Wing | H3K27AC C-Wing-H3K27AC-PK32 from PK32-CB-H3K27AC
111	0	C-Wing-H3K27ME3-PK32	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Wing-H3K27ME3-PK32.bw	64	1	sum	CUT&TAG:Wing | H3K27ME3 C-Wing-H3K27ME3-PK32 from PK32-CB-H3K27ME3
112	0	C-Airsac-H3K4ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Airsac-H3K4ME3-PK29.bw	32	2	mean	CUT&TAG:Airsac | H3K4ME3 C-Airsac-H3K4ME3-PK29 from PK29-QN-H3K4ME3
113	0	C-Airsac-H3K4ME1-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Airsac-H3K4ME1-PK29.bw	32	2	mean	CUT&TAG:Airsac | H3K4ME1 C-Airsac-H3K4ME1-PK29 from PK29-QN-H3K4ME1
114	0	C-Airsac-H3K27AC-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Airsac-H3K27AC-PK29.bw	32	2	mean	CUT&TAG:Airsac | H3K27AC C-Airsac-H3K27AC-PK29 from PK29-QN-H3K27AC
115	0	C-Airsac-H3K27ME3-PK29	/path/to/data/Epigenomes/Duck/cuttag/bw/C-Airsac-H3K27ME3-PK29.bw	64	1	sum	CUT&TAG:Airsac | H3K27ME3 C-Airsac-H3K27ME3-PK29 from PK29-QN-H3K27ME3
